"Bank","Code","Country","Tag","Currency"
"YUP","YUP","GA","YUP","XAF"
"EUMOBILE","EUMOBILE","GQ","EUMOBILE","XAF"
"LAREGIONALE","LAREGIONALE","GQ","LAREGIONALE","XAF"
"MTN","MTN","GQ","MTN","XAF"
"UBC","UBC","GQ","UBC","XAF"
"CCA","CCA","GQ","CCA","XAF"
"ORANGE MONEY","ORANGEMONEY","GQ","ORANGEMONEY","XAF"
"ORANGE","ORANGE","GQ","ORANGE","XAF"
"MOOV","MOOV","GQ","MOOV","XAF"
"TELECOM","TELECOM","GQ","TELECOM","XAF"
"BGFI","BGFI","GQ","BGFI","XAF"
"BICEC","BICEC","GQ","BICEC","XAF"
"CBC","CBC","GQ","CBC","XAF"
"YUP","YUP","GQ","YUP","XAF"
"Airtel","AIRTEL","CG","AIRTEL","XAF"
"Airtel","AIRTEL","CF","AIRTEL","XAF"
"Airtel","AIRTEL","TD","AIRTEL","XAF"
"Airtel","AIRTEL","GA","AIRTEL","XAF"
"Airtel","AIRTEL","GQ","AIRTEL","XAF"
"Airtel","AIRTEL","CM","AIRTEL","XAF"
"Mobile Money","FMM","CM","fmm","XAF"
"MyBucks Banking Corporation","200515860C","Malawi","mybucksbanking","MWK"
"ECOCMWMW","20052388CJ","Malawi","ecocmwmw","MWK"
"Standard Bank Limited","20473700","Malawi","standardbanklimited","MWK"
"National Bank of Malawi","20474000","Malawi","nationalbankmalawi","MWK"
"Reserve Bank of Malawi","20474200","Malawi","reservebankmalawi","MWK"
"FDH Bank Limited","25919656","Malawi","fdhbanklimited","MWK"
"CDH Investment Bank (CDHIB)","26698436","Malawi","cdhinvestmentbank","MWK"
"First Merchant Bank","97157104","Malawi","firstmerchantbank","MWK"
"NBS Bank PLC","97517874","Malawi","nbsbankplc","MWK"
"Standard Bank Limited","97517874","Malawi","standardbanklimited","MWK"
"Ecobank Malawi","MW040000","Malawi","ecobankmalawi","MWK"
